rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Oakland to Gatwick,Oakland to Gatwick,01-10-2017,1,1,1,1,1,-1
2,United States,A321,A321,Business,Business,Economy Class,Düsseldorf to London ,Düsseldorf to London ,01-08-2017,3,4,2,2,1,3
6,United Kingdom,Boeing 787-9,Boeing 787-9,Couple Leisure,Couple Leisure,Business Class,London to Santiago,London to Santiago,01-11-2017,3,4,3,4,3,3
3,United Kingdom,Boeing 747-400,Boeing 747-400,Business,Business,Business Class,London to New York JFK,London to New York JFK,01-11-2017,2,3,2,3,1,3
1,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,Johannesburg to Victoria Falls,Johannesburg to Victoria Falls,01-10-2017,1,3,3,1,1,1
1,United Kingdom,Boeing 777-200,Boeing 777-200,Couple Leisure,Couple Leisure,Business Class,London to Mumbai,London to Mumbai,01-10-2017,3,4,2,5,1,1
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Business Class,London to Johannesburg,London to Johannesburg,01-10-2017,2,2,-1,1,1,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,Heathrow to Lyon,Heathrow to Lyon,01-11-2017,1,1,1,1,1,1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to New York,London to New York,01-11-2017,1,1,1,1,1,4
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Kingston to London Gatwick,Kingston to London Gatwick,01-11-2017,1,1,1,2,1,1
5,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,Heathrow to Barcelona,Heathrow to Barcelona,01-11-2017,2,2,-1,3,2,-1
2,United Kingdom,Unknown,,Business,Business,Business Class,Singapore to London,Singapore to London,01-10-2017,1,3,1,2,1,2
8,Australia,Unknown,,Couple Leisure,Couple Leisure,Business Class,London to Rome,London to Rome,01-10-2017,2,5,5,4,3,-1
2,United Arab Emirates,Unknown,,Solo Leisure,Solo Leisure,Premium Economy,Heathrow to Dubai,Heathrow to Dubai,01-09-2017,1,1,1,1,1,1
3,Sweden,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Economy Class,Tokyo Haneda to Heathrow,Tokyo Haneda to Heathrow,01-10-2017,1,2,1,2,3,1
3,Switzerland,Boeing 787-8,Boeing 787-8,Business,Business,Business Class,London to Toronto,London to Toronto,01-10-2017,2,2,1,1,2,1
5,United Kingdom,Boeing 747-400,Boeing 747-400,Business,Business,First Class,New York JFK to London,New York JFK to London,01-10-2017,3,4,3,3,2,4
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Marrakech,Gatwick to Marrakech,01-10-2017,1,1,-1,3,1,-1
8,United States,A380,A380,Solo Leisure,Solo Leisure,Economy Class,Los Angeles to London Heathrow,Los Angeles to London Heathrow,01-07-2017,4,4,4,4,4,4
7,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Gatwick to Cagliari,Gatwick to Cagliari,01-10-2017,4,4,2,4,3,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,Shanghai to Tampa via Heathrow/Gatwick,Shanghai to Tampa via Heathrow/Gatwick,01-10-2017,1,4,2,1,1,2
3,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Marrakech,Gatwick to Marrakech,01-10-2017,3,1,1,4,4,-1
7,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Business Class,Oakland to Heathrow,Oakland to Heathrow,01-10-2017,4,4,3,4,4,2
3,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Sofia,London to Sofia,01-09-2017,3,4,1,3,3,-1
