rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
2,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,Chicago to Manchester via Heathrow,01-10-2023,2,3,1,2,2,-1
2,United Kingdom,A320,A320,Business,Business,Business Class,London Heathrow to Munich,London Heathrow to Munich,01-09-2023,2,1,2,1,1,-1
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Heathrow to Istanbul,Heathrow to Istanbul,01-09-2023,2,3,2,1,1,-1
3,United Kingdom,A320,A320,Business,Business,Economy Class,London to Geneva,London to Geneva,01-10-2023,4,4,2,1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Athens to London,Athens to London,01-09-2023,1,1,1,1,1,1
3,Italy,Unknown,,Business,Business,Economy Class,Milan to San Jose via London,Milan to San Jose via London,01-09-2023,3,3,2,1,1,4
4,United States,777-300 and A320,777-300 and A320,Couple Leisure,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,Dallas to Dubrovnik via Heathrow,01-09-2023,1,4,4,3,2,3
1,United Kingdom,A321,A321,Business,Business,Business Class,London to Seville,London to Seville,01-09-2023,2,1,1,1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Tokyo,London Heathrow to Tokyo,01-09-2023,1,1,1,2,1,3
1,United States,Unknown,,Solo Leisure,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,Miami to Dublin via London Heathrow,01-08-2023,1,3,2,1,1,1
1,United States,Unknown,,Business,Business,Business Class,Prague to San Francisco via London,Prague to San Francisco via London,01-09-2023,1,3,3,1,1,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,London to Glasgow,London to Glasgow,01-09-2023,1,1,1,1,1,1
1,France,Unknown,,Family Leisure,Family Leisure,Economy Class,San Diego to Marseille via London ,San Diego to Marseille via London ,01-08-2023,3,2,3,1,3,3
1,Germany,A350,A350,Business,Business,Premium Economy,Hamburg to Las Vegas via London,Hamburg to Las Vegas via London,01-08-2023,2,2,2,1,1,3
1,Switzerland,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Los Angeles,London to Los Angeles,01-07-2023,-1,-1,-1,-1,1,-1
6,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Porto,London Heathrow to Porto,01-09-2023,3,4,3,4,4,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Dalaman,London to Dalaman,01-09-2023,-1,-1,-1,3,1,-1
2,South Africa,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Johannesburg to Milan via London,Johannesburg to Milan via London,01-09-2023,-1,-1,-1,-1,2,-1
1,Canada,Unknown,,Business,Business,Business Class,Madrid to Vancouver via London,Madrid to Vancouver via London,01-04-2023,3,3,-1,1,1,-1
8,United Kingdom,Boeing 787,Boeing 787,Couple Leisure,Couple Leisure,Business Class,London to Santiago,London to Santiago,01-09-2023,3,5,4,2,5,-1
1,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Faro,London Heathrow to Faro,01-09-2023,-1,-1,-1,1,1,-1
1,Kuwait,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Kuwait to Lisbon via London,Kuwait to Lisbon via London,01-09-2023,3,1,1,3,3,1
1,Germany,A320,A320,Couple Leisure,Couple Leisure,Economy Class,London to Munich,London to Munich,01-09-2023,1,3,1,1,1,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Frankfurt to London City,Frankfurt to London City,01-09-2023,1,-1,-1,1,1,-1
8,Iceland,A321,A321,Couple Leisure,Couple Leisure,Business Class,London to Keflavik,London to Keflavik,01-08-2023,3,4,3,4,4,-1
8,Iceland,Boeing 777-200,Boeing 777-200,Couple Leisure,Couple Leisure,Business Class,Mumbai to London,Mumbai to London,01-08-2023,4,3,3,4,4,3
2,United Kingdom,Unknown,,Business,Business,Premium Economy,Houston to London Heathrow,Houston to London Heathrow,01-09-2023,2,4,3,4,1,3
1,Australia,A380,A380,Solo Leisure,Solo Leisure,Business Class,London to Miami,London to Miami,01-09-2023,1,1,2,3,1,1
1,United Kingdom,Boeing 777,Boeing 777,Unknown,,Economy Class,Los Angeles to London,Los Angeles to London,01-08-2023,1,1,1,1,1,1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,New York JFK to Malaga via London,New York JFK to Malaga via London,01-06-2023,1,3,-1,1,1,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Chicago to Rome via London,Chicago to Rome via London,01-07-2023,3,1,1,1,1,1
1,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Business Class,London to Malaga,London to Malaga,01-08-2023,1,1,1,1,1,1
1,Germany,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Frankfurt to London Heathrow,Frankfurt to London Heathrow,01-08-2023,1,1,-1,1,1,-1
1,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Tenerife to Gatwick,Tenerife to Gatwick,01-08-2023,1,3,1,1,1,-1
3,United Kingdom,A320,A320,Business,Business,Business Class,London Heathrow to Malaga ,London Heathrow to Malaga ,01-08-2023,2,2,2,1,2,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Newark to London,Newark to London,01-06-2023,-1,-1,-1,-1,1,-1
1,United Kingdom,Unknown,,Business,Business,Business Class,London to Johannesburg,London to Johannesburg,01-08-2023,3,2,-1,2,1,-1
8,United States,Boeing 777-300,Boeing 777-300,Couple Leisure,Couple Leisure,Business Class,LHR to LAX,LHR to LAX,01-08-2023,4,5,3,5,4,5
1,Canada,Unknown,,Family Leisure,Family Leisure,Economy Class,Delhi to Vancouver via London,Delhi to Vancouver via London,01-12-2022,1,1,-1,1,1,-1
1,Denmark,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Copenhagen to London,Copenhagen to London,01-06-2023,-1,-1,-1,-1,1,-1
4,United Kingdom,A320neo,A320neo,Solo Leisure,Solo Leisure,Business Class,Larnaca to London Heathrow,Larnaca to London Heathrow,01-07-2023,3,3,1,3,1,-1
7,United States,A380,A380,Family Leisure,Family Leisure,Economy Class,Washington to London,Washington to London,01-08-2023,4,5,3,1,4,2
8,United Kingdom,A380,A380,Family Leisure,Family Leisure,Business Class,London to Miami,London to Miami,01-08-2023,4,5,5,4,4,5
2,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Paris,London to Paris,01-08-2023,1,1,-1,1,1,-1
2,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Algiers,London to Algiers,01-08-2023,1,1,1,1,1,1
10,United Kingdom,Embraer-190,Embraer-190,Couple Leisure,Couple Leisure,Economy Class,Edinburgh to London City,Edinburgh to London City,01-07-2023,4,4,3,5,5,-1
1,Canada,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Vienna,London to Vienna,01-08-2023,3,3,-1,1,2,-1
1,Poland,A380 / A320,A380 / A320,Business,Business,Economy Class,San Francisco to Warsaw via London,San Francisco to Warsaw via London,01-07-2023,3,5,4,1,1,5
1,United Kingdom,Embraer,Embraer,Business,Business,Economy Class,Frankfurt to London City,Frankfurt to London City,01-08-2023,3,3,1,1,1,-1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Lyon,London to Lyon,01-08-2023,-1,-1,-1,1,1,-1
10,Hong Kong,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Business Class,London to Hong Kong,London to Hong Kong,01-07-2023,5,5,5,5,5,5
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Montpelier,Gatwick to Montpelier,01-07-2023,3,3,1,1,1,-1
9,Iceland,Boeing 787-8,Boeing 787-8,Couple Leisure,Couple Leisure,Business Class,London to Mumbai,London to Mumbai,01-07-2023,4,5,5,4,4,3
6,Iceland,A320,A320,Couple Leisure,Couple Leisure,Business Class,Keflavik  to London,Keflavik  to London,01-07-2023,3,5,4,2,3,-1
1,Canada,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Gibraltar to London Heathrow,Gibraltar to London Heathrow,01-05-2023,1,1,-1,1,1,-1
1,Qatar,A321,A321,Family Leisure,Family Leisure,Business Class,Madrid to London,Madrid to London,01-07-2023,1,1,-1,1,1,-1
2,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Rhodes to Gatwick,Rhodes to Gatwick,01-07-2023,2,3,1,1,2,1
1,Spain,Unknown,,Family Leisure,Family Leisure,Economy Class,Barcelona to London,Barcelona to London,01-07-2023,1,4,1,1,1,1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Inverness to Los Angeles via London,Inverness to Los Angeles via London,01-11-2022,-1,-1,-1,-1,1,-1
1,Germany,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London City Airport to Frankfurt,London City Airport to Frankfurt,01-07-2023,3,3,-1,1,1,-1
4,United Kingdom,E190,E190,Business,Business,Economy Class,Amsterdam to London City ,Amsterdam to London City ,01-07-2023,3,4,3,1,2,-1
8,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Dalaman to Gatwick ,Dalaman to Gatwick ,01-06-2023,3,5,4,5,3,-1
2,United Kingdom,Boeing 787,Boeing 787,Solo Leisure,Solo Leisure,Economy Class,Seattle to London Heathrow,Seattle to London Heathrow,01-06-2023,2,2,1,3,3,3
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Dalaman ,Gatwick to Dalaman ,01-06-2023,1,1,1,1,1,-1
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Business Class,London to Rhodes,London to Rhodes,01-07-2023,1,1,-1,1,1,-1
9,United Kingdom,A320 A350,A320 A350,Family Leisure,Family Leisure,Business Class,Newcastle to Las Vegas via Heathrow,Newcastle to Las Vegas via Heathrow,01-06-2023,4,5,4,4,4,3
1,United Kingdom,A380,A380,Solo Leisure,Solo Leisure,Business Class,London to Miami,London to Miami,01-06-2023,1,1,1,1,1,-1
2,United Kingdom,A320Neo,A320Neo,Solo Leisure,Solo Leisure,Economy Class,Amman to London,Amman to London,01-07-2023,3,1,1,4,3,1
4,United Kingdom,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Premium Economy,Chennai to London ,Chennai to London ,01-07-2023,3,2,1,4,1,1
2,United States,A321neo,A321neo,Couple Leisure,Couple Leisure,Economy Class,Istanbul to London,Istanbul to London,01-07-2023,2,2,-1,1,1,-1
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Edinburgh,London to Edinburgh,01-11-2022,2,5,3,1,2,3
4,United Kingdom,Boeing 777 -200,Boeing 777 -200,Family Leisure,Family Leisure,Premium Economy,Kingston to London,Kingston to London,01-06-2023,5,4,4,3,3,3
1,South Africa,Boeing 777-200,Boeing 777-200,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Cape Town,London Heathrow to Cape Town,01-06-2023,1,3,1,3,2,3
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Ibiza,London Heathrow to Ibiza,01-07-2023,-1,-1,-1,1,1,-1
3,Greece,A380,A380,Business,Business,Business Class,Washington to London,Washington to London,01-06-2023,3,3,3,1,1,3
3,Italy,A321,A321,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Naples,London Heathrow to Naples,01-06-2023,1,4,1,2,2,-1
10,Senegal,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Berlin to London,Berlin to London,01-07-2023,5,5,3,4,5,-1
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Glasgow to London,Glasgow to London,01-06-2023,1,1,-1,1,1,-1
1,United Arab Emirates,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Dubai to Keflavik via London,Dubai to Keflavik via London,01-05-2023,1,1,-1,1,1,-1
2,United Kingdom,A321Neo,A321Neo,Couple Leisure,Couple Leisure,Economy Class,Cairo to London,Cairo to London,01-06-2023,1,1,1,2,1,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Madrid,London to Madrid,01-05-2023,3,3,3,1,1,-1
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Cairo,London to Cairo,01-06-2023,1,1,-1,1,1,-1
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,New Orleans to London,New Orleans to London,01-06-2023,3,3,3,1,1,3
1,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,London to Amman,London to Amman,01-03-2023,-1,-1,-1,-1,1,-1
2,United Kingdom,A321 neo,A321 neo,Solo Leisure,Solo Leisure,Business Class,Heathrow to Bodrum,Heathrow to Bodrum,01-06-2023,1,1,1,1,1,-1
4,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Amman to London,Amman to London,01-06-2023,1,3,1,2,2,1
7,United Kingdom,Embraer 190,Embraer 190,Family Leisure,Family Leisure,Business Class,London City to Ibiza,London City to Ibiza,01-06-2023,3,5,3,3,3,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Washington,London to Washington,01-06-2023,1,1,1,1,1,1
1,United States,A350,A350,Business,Business,Business Class,Amsterdam to London,Amsterdam to London,01-06-2023,3,3,3,2,2,2
7,United Kingdom,Boeing 737,Boeing 737,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Kalamata,London Heathrow to Kalamata,01-06-2023,1,4,3,3,3,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Funchal ,London to Funchal ,01-06-2023,4,4,1,1,1,-1
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Marseille to Seattle via London Heathrow,Marseille to Seattle via London Heathrow,01-06-2023,2,3,3,1,1,4
2,United States,Unknown,,Solo Leisure,Solo Leisure,Business Class,Cairo to London ,Cairo to London ,01-06-2023,1,3,2,1,1,1
1,Romania,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Bucharest to Dallas via London,Bucharest to Dallas via London,01-06-2023,2,4,3,1,1,3
3,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Gatwick to Venice,Gatwick to Venice,01-06-2023,3,5,4,1,3,-1
1,Australia,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Dublin to London City,Dublin to London City,01-06-2023,1,1,-1,1,1,-1
1,United Kingdom,Unknown,,Business,Business,Business Class,Tokyo to Manchester via Heathrow,Tokyo to Manchester via Heathrow,01-06-2023,1,1,1,1,1,1
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,San Francisco to London,San Francisco to London,01-06-2023,-1,-1,-1,1,1,-1
3,United Kingdom,Boeing 787,Boeing 787,Family Leisure,Family Leisure,Economy Class,Santiago to London,Santiago to London,01-05-2023,1,2,2,4,1,4
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Seattle to Nice via London,Seattle to Nice via London,01-06-2023,4,4,5,1,2,5
4,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Sydney via Singapore to London Heathrow ,Sydney via Singapore to London Heathrow ,01-03-2023,4,4,1,5,1,-1
1,United States,Boeing 777,Boeing 777,Business,Business,Economy Class,Seattle to Edinburgh via Heathrow,Seattle to Edinburgh via Heathrow,01-05-2023,2,4,4,2,2,4
2,Greece,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Athens to Durban via London Heathrow,Athens to Durban via London Heathrow,01-04-2023,4,5,3,5,4,3
9,United Kingdom,A350,A350,Solo Leisure,Solo Leisure,Business Class,Vancouver to London Heathrow,Vancouver to London Heathrow,01-05-2023,5,5,4,4,4,5
3,Canada,Unknown,,Family Leisure,Family Leisure,Economy Class,Vancouver to Barcelona via London,Vancouver to Barcelona via London,01-05-2023,3,2,2,1,1,3
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Boston to Cairo via London,Boston to Cairo via London,01-06-2023,1,1,1,1,1,1
1,Australia,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Santorini,London to Santorini,01-05-2023,1,1,1,1,1,1
2,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Heathrow to Mumbai,Heathrow to Mumbai,01-02-2023,3,1,1,1,1,3
10,Cyprus,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Larnaca,London to Larnaca,01-03-2023,5,5,-1,5,5,-1
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Nice to London Heathrow,Nice to London Heathrow,01-05-2023,1,1,-1,1,1,-1
1,Italy,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Las Vegas to Venice,Las Vegas to Venice,01-05-2023,1,1,1,1,1,1
9,United Kingdom,Boeing 777-300,Boeing 777-300,Family Leisure,Family Leisure,Premium Economy,London to New York,London to New York,01-05-2023,4,4,3,4,4,5
2,Canada,A320,A320,Couple Leisure,Couple Leisure,Economy Class,Lisbon to London ,Lisbon to London ,01-05-2023,1,3,-1,1,2,1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Dallas to Madrid via London,Dallas to Madrid via London,01-05-2023,1,1,1,1,1,1
10,Spain,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Valencia,London to Valencia,01-03-2023,4,4,-1,5,4,-1
10,Chile,A320,A320,Solo Leisure,Solo Leisure,Economy Class,London to Glasgow,London to Glasgow,01-05-2023,5,5,5,5,5,-1
2,United Kingdom,A320 Finnair,A320 Finnair,Business,Business,Business Class,London Heathrow to Malaga ,London Heathrow to Malaga ,01-05-2023,2,2,3,1,1,1
4,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Business Class,London to Nice,London to Nice,01-05-2023,2,3,3,4,1,-1
2,United States,Unknown,,Solo Leisure,Solo Leisure,Business Class,London to San Francisco,London to San Francisco,01-09-2022,3,1,1,2,2,4
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Dallas,London to Dallas,01-04-2023,1,1,3,1,1,3
1,United Kingdom,Unknown,,Business,Business,Economy Class,London to Madrid,London to Madrid,01-05-2023,4,3,1,1,1,-1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Belfast,London to Belfast,01-05-2023,1,3,3,1,1,1
3,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,Los Angeles to London,Los Angeles to London,01-05-2023,5,5,4,1,1,5
3,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Atlanta to London,Atlanta to London,01-04-2023,4,3,1,1,1,2
1,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,Unknown,,01-05-2023,-1,-1,-1,-1,1,-1
1,Australia,Boeing 787-9,Boeing 787-9,Solo Leisure,Solo Leisure,Business Class,Sydney to London via Singapore,Sydney to London via Singapore,01-05-2023,1,1,1,1,1,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Business Class,Heathrow to Faro,Heathrow to Faro,01-05-2023,1,1,1,1,1,1
1,United Kingdom,Unknown,,Business,Business,Economy Class,London to Barcelona,London to Barcelona,01-05-2023,-1,-1,-1,1,1,-1
2,United Kingdom,Unknown,,Business,Business,Economy Class,New York to London,New York to London,01-04-2023,4,3,3,1,1,3
5,United Kingdom,Boeing 787,Boeing 787,Couple Leisure,Couple Leisure,Business Class,Singapore to London,Singapore to London,01-04-2023,4,2,1,3,1,5
1,Sweden,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Sweden to Los Angeles via London,Sweden to Los Angeles via London,01-01-2023,3,3,3,3,1,2
2,United States,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Premium Economy,Seattle to Zagreb via London,Seattle to Zagreb via London,01-04-2023,3,2,1,3,2,1
1,Canada,Boeing 777,Boeing 777,Family Leisure,Family Leisure,Premium Economy,"Bangalore to Toronto via London, ","Bangalore to Toronto via London, ",01-04-2023,2,1,2,1,1,3
1,Ireland,Dreamliner,Dreamliner,Family Leisure,Family Leisure,Economy Class,London to Denver,London to Denver,01-02-2023,2,1,1,1,2,3
10,United Kingdom,A350,A350,Solo Leisure,Solo Leisure,Premium Economy,London to Hong Kong,London to Hong Kong,01-04-2023,4,5,4,4,4,3
2,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,Brussels to Los Angeles via London Heathrow,01-04-2023,1,4,1,1,1,3
5,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Copenhagen to London,Copenhagen to London,01-04-2023,1,4,2,2,2,-1
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Denver,London to Denver,01-03-2023,2,5,2,4,1,3
3,Hong Kong,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Hong Kong to London,Hong Kong to London,01-04-2023,2,1,1,2,2,1
4,United Kingdom,A320,A320,Business,Business,Business Class,Heathrow to Malaga,Heathrow to Malaga,01-04-2023,3,3,4,3,2,-1
3,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Santorini to Gatwick,Santorini to Gatwick,01-03-2023,4,4,-1,3,1,1
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Madrid to Belfast via London,Madrid to Belfast via London,01-01-2023,3,3,2,1,1,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,Dublin to London,Dublin to London,01-04-2023,1,1,1,1,1,1
2,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,London to Venice,London to Venice,01-03-2023,1,2,2,2,2,1
1,United Kingdom,A350,A350,Couple Leisure,Couple Leisure,Economy Class,Las Vegas to London,Las Vegas to London,01-04-2023,1,1,1,4,1,4
9,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Business Class,Faro to Heathrow,Faro to Heathrow,01-04-2023,5,5,5,3,5,-1
5,United Kingdom,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Business Class,London to Atlanta,London to Atlanta,01-04-2023,4,3,2,2,3,3
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Copenhagen,London to Copenhagen,01-04-2023,1,4,1,1,1,-1
2,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Malta,London to Malta,01-04-2023,3,1,2,1,1,-1
7,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Belfast to London,Belfast to London,01-04-2023,4,4,3,4,4,-1
4,United Kingdom,Boeing 787,Boeing 787,Business,Business,Premium Economy,London to Hong Kong,London to Hong Kong,01-04-2023,2,2,3,4,3,3
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Mumbai to Chicago via London,Mumbai to Chicago via London,01-04-2023,4,1,5,1,1,5
3,United Kingdom,Boeing 777,Boeing 777,Business,Business,Business Class,London to New York,London to New York,01-04-2023,3,2,2,3,2,2
9,United Kingdom,Boeing 777-200,Boeing 777-200,Solo Leisure,Solo Leisure,Economy Class,Mumbai to London,Mumbai to London,01-03-2023,4,5,3,4,5,5
10,Netherlands,Boeing 787 / A320,Boeing 787 / A320,Couple Leisure,Couple Leisure,Business Class,Mexico City to Amsterdam via London,Mexico City to Amsterdam via London,01-03-2023,4,5,5,4,5,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,Barcelona to London,Barcelona to London,01-03-2023,3,3,3,3,1,1
3,United Kingdom,A321,A321,Couple Leisure,Couple Leisure,Economy Class,London to Lanzarote,London to Lanzarote,01-03-2023,3,2,-1,2,3,1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Marrakech to London Heathrow,Marrakech to London Heathrow,01-03-2023,1,1,1,1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Marrakech,London Heathrow to Marrakech,01-03-2023,1,3,1,1,1,-1
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Algiers,London to Algiers,01-05-2022,1,1,-1,1,2,-1
1,Austria,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Miami to Munich via London,Miami to Munich via London,01-03-2023,3,1,3,1,1,4
3,United States,Unknown,,Business,Business,Economy Class,New York to London,New York to London,01-03-2023,1,1,1,2,2,2
2,France,A321Neo,A321Neo,Couple Leisure,Couple Leisure,Economy Class,Cairo to London,Cairo to London,01-03-2023,1,4,1,4,2,1
8,India,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Premium Economy,Mumbai to Nassau via London,Mumbai to Nassau via London,01-03-2023,4,4,2,3,3,3
3,United States,A380,A380,Couple Leisure,Couple Leisure,First Class,Johannesburg to London,Johannesburg to London,01-03-2023,4,5,4,1,2,4
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Munich to London Heathrow,Munich to London Heathrow,01-03-2023,3,3,-1,1,1,-1
1,Netherlands,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Amsterdam to London,Amsterdam to London,01-03-2023,1,-1,-1,1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Heathrow to Belfast City,Heathrow to Belfast City,01-03-2023,3,3,3,1,1,-1
7,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Dubrovnik,Gatwick to Dubrovnik,01-03-2023,1,3,2,5,5,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,London Heathrow to Amsterdam,London Heathrow to Amsterdam,01-03-2023,2,1,1,1,1,-1
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Zagreb to London Heathrow,Zagreb to London Heathrow,01-03-2023,3,2,1,1,2,1
2,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,New York JFK to Heathrow,New York JFK to Heathrow,01-03-2023,1,2,2,3,1,2
1,Ireland,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,Dublin to Orlando via Heathrow,01-12-2022,1,1,1,1,1,1
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London Heathrow to Munich,London Heathrow to Munich,01-03-2023,1,1,1,1,1,-1
2,United Kingdom,Unknown,,Business,Business,Business Class,London to Dubai,London to Dubai,01-12-2022,4,4,4,1,1,4
1,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Geneva to London,Geneva to London,01-03-2023,2,3,3,1,2,-1
1,Australia,Unknown,,Family Leisure,Family Leisure,Economy Class,Prague to London,Prague to London,01-12-2022,1,-1,-1,1,1,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,Heathrow to Glasgow,Heathrow to Glasgow,01-03-2023,1,1,1,1,1,1
8,United Kingdom,A321,A321,Business,Business,Economy Class,London Heathrow to Arlanda Stockholm,London Heathrow to Arlanda Stockholm,01-03-2023,5,5,2,5,5,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,Portland to Tel Aviv via Heathrow,01-03-2023,-1,-1,-1,-1,1,-1
1,Australia,Unknown,,Solo Leisure,Solo Leisure,Business Class,Heathrow to Milan Malpensa,Heathrow to Milan Malpensa,01-04-2022,-1,-1,-1,1,1,-1
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Los Angeles,London to Los Angeles,01-03-2023,1,2,1,3,1,1
10,United States,Boeing 777 / A320,Boeing 777 / A320,Solo Leisure,Solo Leisure,Economy Class,New York to Istanbul via London,New York to Istanbul via London,01-03-2023,5,5,5,5,5,5
4,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,London Heathrow to Las Vegas,London Heathrow to Las Vegas,01-03-2023,3,2,1,2,3,4
1,Canada,A321neo,A321neo,Business,Business,Business Class,London to Cairo,London to Cairo,01-01-2023,1,2,1,3,1,1
